Total_Cases,No_of_Strains
1322519,1
0,5
0,5
0,5
0,5
0,5
698001,1
11824,4
11824,4
11824,4
11824,4
242284,1
3866,11
3866,11
3866,11
3866,11
3866,11
3866,11
3866,11
3866,11
3866,11
3866,11
3866,11
20593,3
20593,3
20593,3
783397,1
805164,1
1338550,1
0,11
0,11
0,11
0,11
0,11
0,11
0,11
0,11
0,11
0,11
0,11
700170,1
4059081,2
4059081,2
33208330,37
33208330,37
33208330,37
33208330,37
33208330,37
33208330,37
33208330,37
33208330,37
33208330,37
33208330,37
33208330,37
33208330,37
33208330,37
33208330,37
33208330,37
33208330,37
33208330,37
33208330,37
33208330,37
33208330,37
33208330,37
33208330,37
33208330,37
33208330,37
33208330,37
33208330,37
33208330,37
33208330,37
33208330,37
33208330,37
33208330,37
33208330,37
33208330,37
33208330,37
33208330,37
33208330,37
33208330,37
242945,1
3890,39
3890,39
3890,39
3890,39
3890,39
3890,39
3890,39
3890,39
3890,39
3890,39
3890,39
3890,39
3890,39
3890,39
3890,39
3890,39
3890,39
3890,39
3890,39
3890,39
3890,39
3890,39
3890,39
3890,39
3890,39
3890,39
3890,39
3890,39
3890,39
3890,39
3890,39
3890,39
3890,39
3890,39
3890,39
3890,39
3890,39
3890,39
3890,39
20593,1
7179793,1
0,2
0,2
3913,14
3913,14
3913,14
3913,14
3913,14
3913,14
3913,14
3913,14
3913,14
3913,14
3913,14
3913,14
3913,14
3913,14
20593,2
20593,2
1368144,1
0,1
704755,1
3949,15
3949,15
3949,15
3949,15
3949,15
3949,15
3949,15
3949,15
3949,15
3949,15
3949,15
3949,15
3949,15
3949,15
3949,15
20593,1
808058,1
7237345,1
0,4
0,4
0,4
0,4
243929,2
243929,2
61137,1
3966,11
3966,11
3966,11
3966,11
3966,11
3966,11
3966,11
3966,11
3966,11
3966,11
3966,11
1210082,1
20593,2
20593,2
785387,2
785387,2
814118,1
1394756,1
0,11
0,11
0,11
0,11
0,11
0,11
0,11
0,11
0,11
0,11
0,11
4089476,1
244380,3
244380,3
244380,3
3981,12
3981,12
3981,12
3981,12
3981,12
3981,12
3981,12
3981,12
3981,12
3981,12
3981,12
3981,12
20593,4
20593,4
20593,4
20593,4
786153,2
786153,2
816110,3
816110,3
816110,3
1406542,1
0,2
0,2
273977,2
273977,2
4101931,2
4101931,2
244826,6
244826,6
244826,6
244826,6
244826,6
244826,6
3999,14
3999,14
3999,14
3999,14
3999,14
3999,14
3999,14
3999,14
3999,14
3999,14
3999,14
3999,14
3999,14
3999,14
1215821,3
1215821,3
1215821,3
20593,4
20593,4
20593,4
20593,4
787184,2
787184,2
818715,1
1420340,1
7323854,1
0,4
0,4
0,4
0,4
712430,1
274041,7
274041,7
274041,7
274041,7
274041,7
274041,7
274041,7
11960,4
11960,4
11960,4
11960,4
245337,4
245337,4
245337,4
245337,4
4014,10
4014,10
4014,10
4014,10
4014,10
4014,10
4014,10
4014,10
4014,10
4014,10
20593,5
20593,5
20593,5
20593,5
20593,5
787646,1
7350203,2
7350203,2
0,4
0,4
0,4
0,4
714748,3
714748,3
714748,3
274107,2
274107,2
4125878,1
245781,5
245781,5
245781,5
245781,5
245781,5
4038,19
4038,19
4038,19
4038,19
4038,19
4038,19
4038,19
4038,19
4038,19
4038,19
4038,19
4038,19
4038,19
4038,19
4038,19
4038,19
4038,19
4038,19
4038,19
20593,2
20593,2
788941,1
0,4
0,4
0,4
0,4
274179,3
274179,3
274179,3
11960,1
4060,6
4060,6
4060,6
4060,6
4060,6
4060,6
20593,1
790041,2
790041,2
823078,2
823078,2
1462901,1
7412008,2
7412008,2
718988,2
718988,2
246530,2
246530,2
4082,13
4082,13
4082,13
4082,13
4082,13
4082,13
4082,13
4082,13
4082,13
4082,13
4082,13
4082,13
4082,13
823078,1
1476477,1
0,1
12085,1
4145852,2
4145852,2
246643,1
3529,1
4095,18
4095,18
4095,18
4095,18
4095,18
4095,18
4095,18
4095,18
4095,18
4095,18
4095,18
4095,18
4095,18
4095,18
4095,18
4095,18
4095,18
4095,18
1227905,2
1227905,2
20961,1
791268,1
827111,1
1489186,1
7476763,2
7476763,2
0,6
0,6
0,6
0,6
0,6
0,6
721756,3
721756,3
721756,3
12143,2
12143,2
246956,2
246956,2
3537,1
4119,19
4119,19
4119,19
4119,19
4119,19
4119,19
4119,19
4119,19
4119,19
4119,19
4119,19
4119,19
4119,19
4119,19
4119,19
4119,19
4119,19
4119,19
4119,19
1230238,1
21077,1
792516,1
7507877,1
0,2
0,2
723134,1
1547176,12
1547176,12
1547176,12
1547176,12
1547176,12
1547176,12
1547176,12
1547176,12
1547176,12
1547176,12
1547176,12
1547176,12
12207,2
12207,2
4160970,1
247358,1
4135,13
4135,13
4135,13
4135,13
4135,13
4135,13
4135,13
4135,13
4135,13
4135,13
4135,13
4135,13
4135,13
1232595,2
1232595,2
21180,4
21180,4
21180,4
21180,4
1511357,1
7541469,1
0,2
0,2
725243,1
247675,1
4144,6
4144,6
4144,6
4144,6
4144,6
4144,6
21180,4
21180,4
21180,4
21180,4
831881,1
7577261,1
0,5
0,5
0,5
0,5
0,5
4162,2
4162,2
1236888,1
21281,4
21281,4
21281,4
21281,4
796411,2
796411,2
833385,3
833385,3
833385,3
1537310,1
7612915,2
7612915,2
0,5
0,5
0,5
0,5
0,5
274745,29
274745,29
274745,29
274745,29
274745,29
274745,29
274745,29
274745,29
274745,29
274745,29
274745,29
274745,29
274745,29
274745,29
274745,29
274745,29
274745,29
274745,29
274745,29
274745,29
274745,29
274745,29
274745,29
274745,29
274745,29
274745,29
274745,29
274745,29
274745,29
4188604,1
33652745,30
33652745,30
33652745,30
33652745,30
33652745,30
33652745,30
33652745,30
33652745,30
33652745,30
33652745,30
33652745,30
33652745,30
33652745,30
33652745,30
33652745,30
33652745,30
33652745,30
33652745,30
33652745,30
33652745,30
33652745,30
33652745,30
33652745,30
33652745,30
33652745,30
33652745,30
33652745,30
33652745,30
33652745,30
33652745,30
1549285,1
7642698,2
7642698,2
0,3
0,3
0,3
1561638,1
7675722,1
0,2
0,2
12253,4
12253,4
12253,4
12253,4
4199400,3
4199400,3
4199400,3
21374,1
836483,1
1571926,1
7713228,2
7713228,2
0,9
0,9
0,9
0,9
0,9
0,9
0,9
0,9
0,9
12636,2
12636,2
4203571,1
21374,1
800730,3
800730,3
800730,3
837769,1
1581415,1
0,6
0,6
0,6
0,6
0,6
0,6
274981,3
274981,3
274981,3
12705,1
4215351,2
4215351,2
249174,1
802589,1
839219,1
7782870,4
7782870,4
7782870,4
7782870,4
0,5
0,5
0,5
0,5
0,5
275057,8
275057,8
275057,8
275057,8
275057,8
275057,8
275057,8
275057,8
12811,8
12811,8
12811,8
12811,8
12811,8
12811,8
12811,8
12811,8
249434,1
1246538,1
21473,1
840363,2
840363,2
0,8
0,8
0,8
0,8
0,8
0,8
0,8
0,8
275130,9
275130,9
275130,9
275130,9
275130,9
275130,9
275130,9
275130,9
275130,9
12870,2
12870,2
1248202,1
21507,2
21507,2
805983,1
841573,1
1615228,1
0,6
0,6
0,6
0,6
0,6
0,6
250023,2
250023,2
3558,1
21507,1
1626604,1
0,5
0,5
0,5
0,5
0,5
12922,3
12922,3
12922,3
250114,1
4961128,1
7912362,1
0,5
0,5
0,5
0,5
0,5
744732,2
744732,2
4255388,1
250191,2
250191,2
1252656,1
21556,1
809552,1
844209,1
0,4
0,4
0,4
0,4
250380,5
250380,5
250380,5
250380,5
250380,5
1253868,1
974179,1
21556,2
21556,2
0,2
0,2
0,6
0,6
0,6
0,6
0,6
0,6
13116,3
13116,3
13116,3
250510,1
3562,1
21626,2
21626,2
8018419,1
0,5
0,5
0,5
0,5
0,5
250728,1
3566,1
21705,5
21705,5
21705,5
21705,5
21705,5
815858,2
815858,2
847452,3
847452,3
847452,3
8058176,1
0,6
0,6
0,6
0,6
0,6
0,6
275538,10
275538,10
275538,10
275538,10
275538,10
275538,10
275538,10
275538,10
275538,10
275538,10
13179,3
13179,3
13179,3
250898,3
250898,3
250898,3
21726,1
818022,2
818022,2
8093112,1
0,2
0,2
275597,10
275597,10
275597,10
275597,10
275597,10
275597,10
275597,10
275597,10
275597,10
275597,10
13179,1
251057,3
251057,3
251057,3
21726,1
848418,4
848418,4
848418,4
848418,4
0,2
0,2
8132563,2
8132563,2
13179,2
13179,2
1258959,1
21726,1
821714,1
8166194,1
13229,2
13229,2
4313384,3
4313384,3
4313384,3
251248,2
251248,2
21769,2
21769,2
850684,1
0,6
0,6
0,6
0,6
0,6
0,6
13320,2
13320,2
4318355,1
251313,1
21799,3
21799,3
21799,3
824687,2
824687,2
8243403,2
8243403,2
0,1
275862,1
13347,2
13347,2
4330258,1
251483,1
3576,1
21826,4
21826,4
21826,4
21826,4
8284905,1
0,2
0,2
275912,4
275912,4
275912,4
275912,4
13369,1
4342640,3
4342640,3
4342640,3
21854,1
830031,1
8329524,1
0,3
0,3
0,3
275975,2
275975,2
13377,1
86986,1
251803,1
21854,2
21854,2
854591,1
0,5
0,5
0,5
0,5
0,5
276030,2
276030,2
13383,2
13383,2
317585,8
317585,8
317585,8
317585,8
317585,8
317585,8
317585,8
317585,8
21854,2
21854,2
854591,1
0,3
0,3
0,3
0,2
0,2
318456,1
4373789,1
252033,1
854591,1
8461409,1
0,2
0,2
13415,1
371447,1
319339,4
319339,4
319339,4
319339,4
4377845,2
4377845,2
252066,1
3589,2
3589,2
838331,2
838331,2
8510159,1
0,2
0,2
13423,1
320207,12
320207,12
320207,12
320207,12
320207,12
320207,12
320207,12
320207,12
320207,12
320207,12
320207,12
320207,12
4384616,2
4384616,2
3606,1
21991,1
841322,1
8553536,1
0,2
0,2
321084,2
321084,2
4401631,1
87723,1
252308,1
22039,1
859646,2
859646,2
8602147,1
0,2
0,2
276395,6
276395,6
276395,6
276395,6
276395,6
276395,6
321967,8
321967,8
321967,8
321967,8
321967,8
321967,8
321967,8
321967,8
252375,1
861123,1
0,1
0,4
0,4
0,4
0,4
276461,8
276461,8
276461,8
276461,8
276461,8
276461,8
276461,8
276461,8
322852,9
322852,9
322852,9
322852,9
322852,9
322852,9
322852,9
322852,9
322852,9
4437280,1
252499,1
22102,1
854024,1
862411,1
8702489,2
8702489,2
0,4
0,4
0,4
0,4
323733,8
323733,8
323733,8
323733,8
323733,8
323733,8
323733,8
323733,8
4452425,4
4452425,4
4452425,4
4452425,4
3623,1
1268536,1
0,1
276571,4
276571,4
276571,4
276571,4
3623,1
0,2
0,2
0,2
0,2
276608,1
4472730,2
4472730,2
252688,1
3629,2
3629,2
864213,3
864213,3
864213,3
865708,1
0,3
0,3
0,3
798099,1
276635,15
276635,15
276635,15
276635,15
276635,15
276635,15
276635,15
276635,15
276635,15
276635,15
276635,15
276635,15
276635,15
276635,15
276635,15
4483203,1
252839,3
252839,3
252839,3
22150,1
868738,5
868738,5
868738,5
868738,5
868738,5
865708,1
0,1
8866018,2
8866018,2
0,7
0,7
0,7
0,7
0,7
0,7
0,7
252938,1
1271027,1
22174,2
22174,2
184419,2
184419,2
874816,2
874816,2
869044,1
8909998,2
8909998,2
0,4
0,4
0,4
0,4
276718,1
253018,1
870837,2
870837,2
8949072,2
